 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
    +194	 +0.3220277156078101E+004	 +0.1159927122236417E+003	 -0.3001989614209323E+000	 +0.3104284443854459E+004	
    +195	 +0.3283473736586880E+004	 +0.4740561171751867E+003	 -0.2988582972852427E+000	 +0.2809417619411694E+004	
    +196	 +0.3411152581215747E+004	 +0.8375675946420598E+002	 -0.3030670245468501E+000	 +0.3327395821751541E+004	
    +197	 +0.3440953215821199E+004	 +0.0000000000000000E+000	 -0.3048368684603915E+000	 +0.3440953215821199E+004	
    +198	 +0.3478400935799603E+004	 +0.0000000000000000E+000	 -0.3099958385076192E+000	 +0.3478400935799603E+004	
    +199	 +0.3508674801669191E+004	 +0.0000000000000000E+000	 -0.3124737971381648E+000	 +0.3508674801669191E+004	
    +200	 +0.3668636667854752E+004	 +0.0000000000000000E+000	 -0.4080984385585743E+000	 +0.3668636667854752E+004	
    +201	 +0.3670245691631899E+004	 +0.1860178939520972E+002	 -0.4698508507819716E+000	 +0.3651643902236689E+004	
    +202	 +0.3663414407529495E+004	 +0.3408840657367794E+003	 -0.4976659833935144E+000	 +0.3322530341792715E+004	
    +203	 +0.3615004677015615E+004	 +0.6117529327853539E+003	 -0.5039586842727650E+000	 +0.3003251744230261E+004	
    +204	 +0.3599058323832616E+004	 +0.1003792819552180E+004	 -0.5152908904808016E+000	 +0.2595265504280435E+004	
    +205	 +0.3553012263645304E+004	 +0.1097206320163198E+004	 -0.5168148698067548E+000	 +0.2455805943482105E+004	
    +206	 +0.3979780309495280E+004	 +0.6183240395451564E+005	 -0.5165681151942795E+000	 +0.0000000000000000E+000	
    +207	 +0.3771966519385168E+004	 +0.6106922937914671E+005	 -0.5204918678333557E+000	 +0.0000000000000000E+000	
    +208	 +0.3631182130685648E+004	 +0.4808019394779471E+005	 -0.5249187188139819E+000	 +0.0000000000000000E+000	
    +209	 +0.3670369534276344E+004	 +0.1462814330359383E+005	 -0.5242891353845288E+000	 +0.0000000000000000E+000	
    +210	 +0.2979169249379582E+004	 +0.0000000000000000E+000	 -0.4483979847407795E+000	 +0.2979169249379582E+004	
    +211	 +0.3040156164024934E+004	 +0.0000000000000000E+000	 -0.4138357338491552E+000	 +0.3040156164024934E+004	
    +212	 +0.2956286770995675E+004	 +0.0000000000000000E+000	 -0.3725632368378334E+000	 +0.2956286770995675E+004	
    +213	 +0.3024208918281893E+004	 +0.0000000000000000E+000	 -0.3573313681402315E+000	 +0.3024208918281893E+004	
